Watchlist Scanner

Results
Industry,Symbol,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM),1
Health Care Providers & Services,AMN,806 M,21.11,$6.77,$18.72,($4.33),-21.08,2.1909,3.3496,
Life Sciences Tools & Services,DHR,"135,906 M",189.90,$6.76,$71.06,$5.16,7.2192,3.928,1.5559,
Pharmaceuticals,MRK,"192,948 M",76.84,$6.74,$19.21,$6.88,39.293,13.809,2.3817,
Health Care Providers & Services,AMED,"3,087 M",94.07,$6.68,$36.55,$2.72,7.1523,6.3578,1.8211,
Pharmaceuticals,BMY,"98,254 M",48.28,$6.45,$8.54,$2.67,31.986,7.2365,5.3153,
Health Care Providers & Services,FMS,"16,666 M",28.40,$6.28,$52.99,$2.28,5.3018,2.9066,2.2777,
Pharmaceuticals,COLL,937 M,29.14,$6.12,$7.30,$1.25,19.226,7.9459,6.9588,
Pharmaceuticals,AZN,"225,802 M",72.83,$5.93,$26.48,$4.97,19.793,8.1576,2.5891,
Health Care Equipment & Supplies,LNTH,"5,228 M",75.56,$5.67,$16.84,$3.53,24.109,14.394,1.7654,
Health Care Equipment & Supplies,ZBH,"18,236 M",92.17,$5.61,$62.63,$4.51,7.3179,4.418,1.7897,
Life Sciences Tools & Services,ILMN,"13,019 M",82.24,$5.47,$14.89,($6.08),-23.846,4.9546,2.6106,
Biotechnology,PTGX,"2,942 M",47.47,$5.40,$11.13,$0.86,8.9945,2.4813,1.077,
Health Care Equipment & Supplies,CNMD,"1,756 M",56.75,$5.33,$31.61,$3.81,12.962,4.1384,2.3502,
Health Care Providers & Services,ADUS,"2,041 M",110.91,$5.15,$54.83,$4.42,9.1827,6.5209,1.4141,
Pharmaceuticals,ZTS,"75,075 M",168.63,$5.05,$10.44,$5.57,52.086,15.108,3.0286,
Health Care Equipment & Supplies,ICUI,"3,319 M",134.86,$4.96,$80.76,($3.83),-4.6205,1.7887,2.1053,
Biotechnology,NBIX,"12,175 M",123.02,$4.90,$25.61,$2.96,12.426,8.7533,1.4543,
Health Care Equipment & Supplies,ISRG,"197,969 M",552.34,$4.90,$47.73,$6.83,15.958,8.8406,1.1236,
Pharmaceuticals,PBH,"4,233 M",85.67,$4.90,$37.06,$4.29,12.298,6.4956,1.8542,
Pharmaceuticals,SNY,"120,151 M",49.37,$4.87,$66.89,$5.39,7.2978,4.276,1.7134,
Health Care Providers & Services,CVS,"81,012 M",64.04,$4.72,$60.96,$4.19,6.9337,2.3088,3.3224,
Biotechnology,KRYS,"3,640 M",125.96,$4.50,$34.07,$4.16,13.898,8.6602,1.0911,
Life Sciences Tools & Services,RVTY,"10,658 M",90.42,$4.30,$63.96,$2.43,3.8239,2.0251,1.6185,
Life Sciences Tools & Services,WST,"15,149 M",210.85,$4.22,$37.37,$6.37,17.421,10.33,1.3485,
Health Care Equipment & Supplies,HOLX,"13,854 M",62.17,$4.20,$20.73,$2.39,11.766,6.9179,1.8501,
Life Sciences Tools & Services,A,"31,778 M",111.92,$4.16,$21.61,$4.06,18.883,8.0005,1.9814,
Health Care Providers & Services,HSIC,"8,749 M",69.99,$4.05,$27.08,$3.21,8.4683,4.6121,3.1662,
Health Care Equipment & Supplies,MDT,"106,375 M",82.98,$4.03,$37.46,$3.61,9.5078,4.6095,1.9091,
Health Care Equipment & Supplies,PODD,"22,874 M",325.03,$4.00,$18.91,$5.55,37.918,6.9366,2.6432,
Biotechnology,HALO,"6,909 M",56.07,$3.94,$3.92,$3.76,147.06,18.495,4.5546,
Health Care Equipment & Supplies,PEN,"10,339 M",266.97,$3.90,$31.35,$1.08,3.4955,5.8236,1.3137,
Health Care Providers & Services,EHC,"12,186 M",120.90,$3.86,$21.40,$4.86,24.576,8.9724,3.076,
Health Care Equipment & Supplies,ABT,"232,407 M",133.58,$3.83,$28.05,$7.70,30.649,6.3768,1.6686,
Health Care Equipment & Supplies,GMED,"8,012 M",59.18,$3.80,$30.20,$1.34,4.633,5.9026,1.1524,
Health Care Providers & Services,USPH,"1,139 M",74.99,$3.71,$32.73,$2.17,6.6319,4.0172,2.3724,
Pharmaceuticals,PCRX,"1,197 M",25.84,$3.45,$17.25,($2.27),-12.27,3.5601,1.987,
Health Care Providers & Services,CCRN,428 M,13.18,$3.39,$12.88,($0.55),-4.0022,-.7627,1.3779,
Health Care Providers & Services,PINC,"1,892 M",22.98,$3.36,$18.50,$1.09,6.8524,4.0545,2.017,
Health Care Equipment & Supplies,ITGR,"4,144 M",118.76,$3.31,$46.05,$2.21,4.9811,4.5135,2.0525,
Pharmaceuticals,BHC,"1,674 M",4.53,$3.30,($3.20),($0.11),39.13,4.3054,-22.334,
Biotechnology,BMRN,"11,136 M",58.07,$3.25,$30.21,$2.71,9.6414,6.3791,1.2336,
Pharmaceuticals,INVA,"1,229 M",19.57,$3.13,$10.31,($0.95),-8.8441,9.4027,1.9391,
Pharmaceuticals,AMPH,"1,212 M",25.71,$3.11,$15.76,$2.77,19.896,7.6041,2.1647,
Health Care Equipment & Supplies,MMSI,"5,616 M",95.03,$3.05,$24.18,$2.04,9.1631,4.3146,1.7278,
Health Care Equipment & Supplies,GEHC,"32,299 M",70.54,$3.01,$20.07,$4.76,26.444,5.8667,3.6558,
Pharmaceuticals,TAK,"46,949 M",15.03,$3.00,$29.17,$0.45,1.522,1.9122,2.0545,
Pharmaceuticals,SUPN,"1,775 M",31.70,$2.95,$18.41,$1.11,6.3181,2.763,1.3072,
Health Care Equipment & Supplies,ALC,"42,507 M",85.94,$2.94,$44.39,$2.25,5.228,2.7425,1.4093,
Biotechnology,ALKS,"5,048 M",30.61,$2.93,$9.17,$2.11,25.713,11.624,1.3774,
Health Care Providers & Services,CNC,"28,085 M",56.44,$2.91,$56.11,$6.72,12.527,3.8582,3.1181,
Biotechnology,EBS,343 M,6.32,$2.88,$10.14,($2.46),-21.634,-1.61,2.5802,
Health Care Providers & Services,SEM,"1,965 M",15.29,$2.87,$13.40,$0.49,7.715,2.4216,3.3128,
Health Care Equipment & Supplies,HAE,"3,253 M",67.71,$2.83,$17.02,$3.31,18.832,6.6474,2.9859,
Pharmaceuticals,LGND,"1,972 M",102.19,$2.73,$41.27,($7.11),-16.556,-1.1423,1.1382,
Biotechnology,EXEL,"11,737 M",43.04,$2.71,$7.75,$2.20,30.221,18.049,1.3314,
Health Care Equipment & Supplies,LIVN,"2,358 M",43.25,$2.68,$18.97,($4.09),-19.695,4.5522,2.4739,
Health Care Equipment & Supplies,INSP,"4,076 M",138.20,$2.65,$21.57,$2.17,10.86,4.3955,1.1495,
Health Care Equipment & Supplies,MASI,"8,811 M",162.50,$2.56,$17.46,($5.41),-25.074,1.3188,2.423,
Health Care Equipment & Supplies,AVNS,581 M,12.57,$2.48,$18.15,($8.27),-36.782,2.2615,1.3198,
Pharmaceuticals,NVO,"317,701 M",71.50,$2.42,$4.52,$3.40,88.115,23.288,3.5308,
Pharmaceuticals,ANIP,"1,271 M",58.72,$2.41,$20.90,($1.15),-4.5742,.8249,3.0873,
Health Care Equipment & Supplies,OMCL,"1,423 M",30.37,$2.32,$26.84,$0.45,1.7323,.3538,1.7115,
Life Sciences Tools & Services,QGEN,"9,773 M",45.13,$2.32,$15.74,$0.42,2.6735,5.7468,1.6272,
Health Care Providers & Services,MD,"1,216 M",14.15,$2.32,$9.38,($0.99),-10.012,5.9476,2.526,
Pharmaceuticals,OGN,"2,397 M",9.22,$2.27,$2.10,$2.88,254.24,6.9818,24.273,
Biotechnology,CPRX,"3,044 M",24.96,$2.24,$6.51,$1.57,29.114,18.592,1.1443,
Health Care Equipment & Supplies,SOLV,"12,646 M",73.09,$2.22,$18.85,$2.18,10.657,3.7237,4.4534,
Health Care Providers & Services,PGNY,"1,843 M",21.50,$2.21,$5.49,$0.57,10.108,5.9935,1.5633,
Life Sciences Tools & Services,RGEN,"6,634 M",118.07,$2.08,$35.34,($0.42),-1.1632,.9184,1.4365,
Health Care Equipment & Supplies,BSX,"155,727 M",105.26,$2.06,$15.02,$1.37,9.4994,5.2825,1.8071,
Health Care Providers & Services,AHCO,"1,212 M",8.98,$2.05,$11.88,$0.58,5.899,3.8225,2.8303,
Health Care Providers & Services,OPCH,"5,351 M",32.68,$2.04,$8.25,$1.25,15.38,6.3279,2.4492,
Biotechnology,RIGL,343 M,19.20,$2.00,$1.04,$2.08,-567.43,18.154,9.4777,
Pharmaceuticals,PFE,"133,549 M",23.49,$1.98,$15.89,$1.38,8.6203,4.7902,2.3028,
Health Care Equipment & Supplies,COO,"13,653 M",68.28,$1.93,$41.30,$2.07,5.1478,3.8832,1.4978,
Health Care Equipment & Supplies,LMAT,"1,857 M",82.20,$1.83,$15.38,$1.97,13.767,7.2816,1.5997,
Health Care Providers & Services,CRVL,"5,714 M",111.27,$1.78,$6.27,$1.83,33.413,15.093,1.6957,
Pharmaceuticals,CORT,"8,225 M",77.56,$1.71,$6.45,$1.14,21.767,9.1826,1.2388,
Health Care Providers & Services,AUNA,474 M,6.40,$1.68,$5.57,$0.58,9.8115,6.1851,4.6554,
Health Care Equipment & Supplies,INMD,893 M,14.66,$1.62,$9.01,$2.29,24.501,8.6172,1.1377,
Life Sciences Tools & Services,FTRE,389 M,4.30,$1.62,$9.49,($8.41),-61.582,-1.7405,3.6343,
Health Care Equipment & Supplies,NVST,"3,097 M",18.27,$1.55,$17.70,($6.54),-31.33,1.5668,1.8005,
Pharmaceuticals,VTRS,"10,317 M",8.79,$1.54,$13.20,($3.18),-21.254,2.2348,2.4584,
Health Care Technology,TBRG,360 M,23.93,$1.50,$11.60,($1.22),-10.264,4.5674,2.3076,
Health Care Providers & Services,CON,"2,772 M",21.63,$1.49,$2.40,$1.30,20.932,7.6939,8.8866,
Health Care Providers & Services,CSTL,461 M,15.97,$1.49,$15.26,($0.18),-1.2029,-1.7947,1.1395,
Health Care Equipment & Supplies,DXCM,"33,643 M",85.80,$1.46,$5.78,$1.33,23.716,5.9751,2.9788,
Biotechnology,INCY,"12,594 M",65.06,$1.45,$18.93,$0.10,.4694,2.0345,1.5676,
Health Care Technology,DOCS,"9,784 M",52.09,$1.43,$5.73,$1.11,22.498,12.309,1.1678,
Life Sciences Tools & Services,TECH,"7,588 M",48.40,$1.40,$12.87,$0.83,6.5304,5.2351,1.3103,
Health Care Equipment & Supplies,XRAY,"3,185 M",15.98,$1.38,$10.09,($4.52),-34.472,2.3058,3.01,
Health Care Providers & Services,SGRY,"3,026 M",23.61,$1.37,$13.67,($1.53),-.3482,3.9657,4.5675,
Pharmaceuticals,GSK,"83,200 M",41.03,$1.28,$4.48,$0.98,27.095,6.5542,4.288,
Biotechnology,GRFS,"5,654 M",8.31,$1.28,$8.97,$0.31,3.4473,3.9913,3.72,
Biotechnology,KURA,493 M,5.69,$1.27,$4.51,($2.09),-41.838,-19.597,2.041,
Pharmaceuticals,PRGO,"3,680 M",26.77,$1.25,$31.81,($1.20),-3.6393,2.9301,2.2364,
Pharmaceuticals,PAHC,990 M,24.42,$1.21,$6.56,$0.78,11.861,6.2569,4.9523,
Health Care Technology,WAY,"6,917 M",39.98,$1.21,$18.07,$0.15,1.0104,2.3327,1.4777,
Life Sciences Tools & Services,BRKR,"5,561 M",36.70,$1.16,$11.99,$0.52,4.7607,4.793,3.265,
Health Care Technology,HSTM,855 M,28.02,$1.14,$11.89,$0.63,5.4014,2.4109,1.4444,
Health Care Providers & Services,ASTH,"1,144 M",24.79,$1.09,$15.20,$0.73,8.1002,3.8999,1.786,
Health Care Equipment & Supplies,IRMD,736 M,57.88,$1.09,$7.08,$1.55,23.812,14.92,1.1296,
Health Care Providers & Services,HIMS,"12,660 M",56.56,$1.08,$2.46,$0.68,36.788,10.758,1.6235,
Health Care Equipment & Supplies,EW,"45,884 M",78.22,$1.05,$17.28,$2.42,16.512,8.4182,1.2857,
Health Care Technology,TDOC,"1,214 M",6.92,$1.05,$8.14,($5.88),-54.488,-3.0045,2.4137,
Health Care Providers & Services,RDNT,"4,313 M",57.49,$1.05,$11.98,($0.44),.3332,1.65,3.7146,
Biotechnology,EXAS,"10,617 M",56.28,$1.05,$12.71,($5.51),-36.887,-1.8292,2.3827,
Biotechnology,VCYT,"2,084 M",26.61,$1.01,$15.26,$0.41,2.8569,1.9404,1.1008,
Health Care Providers & Services,PRVA,"2,775 M",22.76,$0.99,$5.43,$0.12,3.0073,1.2063,1.7948,
Health Care Providers & Services,EHAB,532 M,10.50,$0.98,$10.74,($2.76),-21.356,2.3124,2.2752,
Life Sciences Tools & Services,AVTR,"8,797 M",12.91,$0.98,$8.95,$1.04,12.517,3.5288,2.0213,
Health Care Providers & Services,ENSG,"8,466 M",147.26,$0.98,$33.73,$5.30,17.637,5.2285,2.4703,
Health Care Equipment & Supplies,VREX,318 M,7.67,$0.93,$13.24,($1.02),-7.1744,2.5629,2.4697,
Pharmaceuticals,GALDY,"31,456 M",26.50,$0.90,$32.81,$0.97,3.5109,3.3432,1.6196,
Health Care Providers & Services,ARDT,"2,071 M",14.48,$0.87,$8.22,$1.64,23.348,5.2217,4.1793,
Life Sciences Tools & Services,AZTA,"1,223 M",26.72,$0.82,$37.17,($3.51),-8.5813,-1.6598,1.2001,
Pharmaceuticals,AMRX,"2,294 M",7.32,$0.75,($0.42),($0.04),-85.32,6.6735,-25.559,
Health Care Providers & Services,CYH,544 M,3.88,$0.70,($14.38),($3.68),29.995,3.7755,-7.2231,
Health Care Equipment & Supplies,SNN,"12,671 M",28.96,$0.69,$6.03,$0.47,7.861,5.4446,1.9666,
Health Care Equipment & Supplies,EMBC,615 M,10.53,$0.69,($12.62),$0.89,-7.0128,2.5325,-1.5216,
Pharmaceuticals,TEVA,"19,244 M",16.78,$0.67,$5.46,($1.14),-19.114,5.267,6.1346,
Pharmaceuticals,ELAN,"6,675 M",13.44,$0.67,$12.80,$0.75,6.0117,1.1359,2.037,
Biotechnology,NTRA,"21,537 M",157.73,$0.66,$9.12,($1.48),-18.661,-8.8717,1.3974,
Pharmaceuticals,TBPH,458 M,9.16,$0.66,$3.32,($1.19),-31.459,-7.9842,2.07,
Biotechnology,KMDA,394 M,6.85,$0.64,$4.45,$0.28,6.4441,4.143,1.4888,
Health Care Providers & Services,BTSG,"4,149 M",23.81,$0.64,$9.63,$0.24,2.7396,4.3897,3.4651,
Health Care Providers & Services,NRC,308 M,13.51,$0.64,$1.30,$1.02,72.687,17.127,4.5556,
Pharmaceuticals,RPRX,"13,855 M",32.88,$0.63,$15.72,$2.45,17.998,7.0407,2.6326,
Health Care Providers & Services,EXETF,881 M,10.511,$0.62,$1.04,$0.62,71.605,10.071,5.6993,
Biotechnology,KNSA,"1,996 M",27.36,$0.61,$6.28,($0.24),-3.8116,-1.7651,1.31,
Health Care Providers & Services,DNTCF,"1,267 M",6.40,$0.54,$6.25,($0.21),-3.3111,1.2795,1.9285,
Biotechnology,IMCR,"1,839 M",36.60,$0.52,$7.54,($0.43),-5.8611,-1.8259,2.7162,
Health Care Providers & Services,CWSRF,"3,822 M",13.593,$0.51,$2.74,$0.06,5.9541,2.1702,3.6596,
Biotechnology,AUPH,"1,059 M",7.84,$0.45,$2.54,$0.27,11.229,5.1969,1.4417,
Health Care Technology,CERT,"1,843 M",11.36,$0.44,$6.71,($0.02),-.2454,1.1227,1.4397,
Health Care Technology,MTHRY,"9,493 M",6.99,$0.42,$3.72,$0.40,11.377,7.0277,1.5372,
Biotechnology,DVAX,"1,176 M",9.79,$0.42,$4.29,($0.47),-10.452,-.0738,1.7816,
Health Care Technology,DH,355 M,3.31,$0.41,$2.94,($4.42),-89.988,-.4303,2.5053,
Health Care Technology,SLP,640 M,31.845,$0.41,$9.43,$0.36,3.9608,1.9812,1.0627,
Biotechnology,GLUE,257 M,4.18,$0.38,$4.47,$0.08,2.8773,-.4032,1.429,
Biotechnology,ADMA,"4,736 M",19.84,$0.38,$1.57,$0.84,78.452,22.062,1.3673,
Pharmaceuticals,GTBIF,"1,242 M",5.24,$0.38,$7.64,$0.21,2.865,4.7982,1.4216,
Health Care Technology,PHR,"1,457 M",24.49,$0.38,$4.75,($0.73),-15.972,-5.9813,1.4189,
Biotechnology,CDNA,946 M,16.99,$0.38,$6.84,$1.07,19.536,-5.2014,1.2907,
Life Sciences Tools & Services,SHC,"3,474 M",12.24,$0.37,$1.46,$0.09,5.8839,7.0149,7.4803,
Health Care Equipment & Supplies,BAX,"15,652 M",30.50,$0.37,$13.80,($0.54),-3.5057,2.5004,3.0086,
Health Care Equipment & Supplies,BVS,430 M,6.48,$0.37,$2.24,($0.48),-20.24,3.3312,4.6672,
Health Care Providers & Services,PACS,"1,539 M",9.92,$0.33,$3.75,$0.68,132.51,5.164,6.8103,
Pharmaceuticals,HLN,"51,088 M",11.35,$0.32,$2.24,$0.20,8.9521,4.5469,2.1227,
Health Care Technology,SDGR,"1,586 M",21.62,$0.30,$5.09,($2.64),-43.328,-16.271,1.9894,
Biotechnology,ACAD,"3,610 M",21.57,$0.30,$4.58,$1.37,37.239,5.5572,1.4798,
Health Care Providers & Services,PNTG,990 M,28.71,$0.27,$8.81,$0.76,11.412,4.0014,2.4494,
Health Care Providers & Services,LFST,"2,310 M",5.94,$0.27,$3.75,($0.09),-2.4695,-.3337,1.4444,
Life Sciences Tools & Services,NAGE,852 M,10.82,$0.26,$0.70,$0.18,33.465,12.211,1.4696,
Health Care Equipment & Supplies,ZIMV,255 M,9.14,$0.21,$14.16,($0.91),-6.3748,.044,1.8875,
Health Care Technology,GDRX,"1,400 M",3.92,$0.21,$1.81,$0.07,4.4267,4.2562,1.9795,
Life Sciences Tools & Services,BLFS,"1,041 M",21.88,$0.20,$7.42,($0.19),-2.5176,-.7926,1.1206,
Health Care Technology,VHIBF,411 M,7.36,$0.20,$2.24,$0.03,2.1506,3.1339,1.3608,
Pharmaceuticals,RDY,"12,247 M",14.72,$0.18,$4.68,$0.79,18.534,10.584,1.4787,
Health Care Equipment & Supplies,PHG,"21,314 M",23.04,$0.16,$13.68,$0.28,1.9925,2.0104,2.3226,
Health Care Providers & Services,SBC,532 M,5.13,$0.16,$2.19,$0.50,26.191,19.977,1.2568,
Health Care Providers & Services,AVAH,"1,040 M",5.33,$0.15,($0.51),$0.03,-4.6699,6.6902,-16.831,
Pharmaceuticals,TCNNF,764 M,4.00,$0.15,$0.49,($0.83),-12.531,1.815,2.3436,
Life Sciences Tools & Services,CTKB,351 M,2.77,$0.13,$2.98,($0.09),-2.9143,-3.5094,1.2713,
Pharmaceuticals,SNDL,327 M,1.27,$0.13,$2.97,($0.28),-9.0942,-1.16,1.1928,
Pharmaceuticals,FULC,371 M,6.875,$0.12,$4.23,($0.01),-.2307,-2.7362,1.062,
Health Care Providers & Services,INNV,552 M,4.09,$0.12,$1.76,($0.24),-11.515,-2.8194,2.2552,
Health Care Providers & Services,ALHC,"3,041 M",15.37,$0.10,$0.55,($0.47),-75.39,-5.0643,8.2827,
Pharmaceuticals,CURLF,629 M,.8300,$0.08,$1.08,($0.34),-20.921,.3175,3.6208,
Biotechnology,MNKD,"1,261 M",4.15,$0.08,($0.19),$0.10,-20.871,10.965,-6.9968,
Biotechnology,ARWR,"2,219 M",16.07,$0.08,$4.95,($1.14),-26.224,-5.8605,2.3027,
Health Care Providers & Services,TALK,534 M,3.19,$0.04,$0.68,$0.02,2.5167,-1.2398,1.1836,
Biotechnology,GOSS,252 M,1.11,$0.04,($0.03),($0.23),-500.57,-12.679,-44.894,
Biotechnology,FOLD,"1,869 M",6.07,$0.01,$0.63,($0.10),-18.117,3.9516,4.0806,
Pharmaceuticals,NIKA,667 M,.6499,$0.00,$0.00,$0.00,27.378,-102.64,-.14846,
Health Care Providers & Services,WHTCF,739 M,2.92,$0.00,$2.29,($0.08),-2.9529,-.1523,2.1715,
Health Care Equipment & Supplies,AXGN,496 M,10.89,$0.00,$2.32,($0.16),-7.2163,-.1267,1.8618,
Biotechnology,TLX,"5,687 M",16.9899,($0.01),$1.05,$0.09,13.922,5.3251,2.6688,
Health Care Technology,KSIOF,442 M,4.68,($0.01),$0.49,($0.02),-4.5623,-2.7743,2.0436,
Health Care Equipment & Supplies,ATRC,"1,711 M",34.57,($0.01),$9.19,($0.81),-8.3817,-3.7026,1.3014,
Pharmaceuticals,CRON,763 M,1.98,($0.02),$2.77,$0.13,4.5922,-2.425,1.082,
Pharmaceuticals,HCM,"2,375 M",13.89,($0.02),$0.89,$0.04,5.0381,-2.139,1.6767,
Health Care Providers & Services,AHG,578 M,1.45,($0.03),$0.84,($0.05),-6.4141,-3.7325,1.0618,
Biotechnology,IMMP,274 M,1.88,($0.03),$0.07,($0.03),-42.116,-25.702,1.0704,
Health Care Equipment & Supplies,IRTC,"4,486 M",140.50,($0.03),$2.72,($3.14),-111.13,-4.3718,10.686,
Biotechnology,MESO,"1,351 M",10.64,($0.04),$0.40,($0.09),-21.31,-4.8515,1.4164,
Biotechnology,ORGO,348 M,2.74,($0.05),$1.91,($0.16),-4.9162,.7008,1.9242,
Health Care Equipment & Supplies,TNDM,"1,320 M",19.82,($0.06),$2.33,($2.80),-92.312,-6.1683,5.9381,
Biotechnology,APLS,"2,128 M",16.93,($0.07),$1.31,($1.80),-103.82,-14.2,4.916,
Health Care Equipment & Supplies,SSII,"1,226 M",6.33,($0.08),$0.21,($0.09),-55.429,-19.927,1.5647,
Health Care Equipment & Supplies,SENS,395 M,.5235,($0.09),$0.05,($0.11),-161.19,-40.997,2.4778,
Health Care Providers & Services,AIRS,259 M,4.41,($0.09),$1.32,($0.30),-21.297,-4.4356,2.6284,
Pharmaceuticals,ETON,507 M,18.89,($0.10),$0.91,($0.18),-22.952,-2.016,3.4369,
Pharmaceuticals,TLRY,432 M,.4257,($0.10),$2.80,($1.12),-30.73,-1.6267,1.2467,
