Watchlist Scanner

Results
Industry,Symbol,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM),1
Banks,BFC,"1,153 M",116.30,$6.23,$65.02,$6.81,10.875,1.5895,6.9478,
Banks,NTB,"1,805 M",42.16,$6.20,$25.07,$4.81,21.106,1.5728,13.254,
Financial Services,EQH,"16,067 M",52.87,$6.19,$2.92,$3.76,38.485,.5698,321.44,
Insurance,HG,"2,235 M",21.76,$6.18,$23.59,$3.03,21.991,4.4151,3.4771,
Banks,TMP,886 M,61.40,$6.17,$51.60,$5.16,10.456,.9231,11.06,
Banks,FBNC,"1,714 M",41.37,$5.99,$36.46,$2.11,6.0569,.7122,8.2459,
Banks,CTBI,925 M,51.05,$5.99,$43.32,$4.79,11.543,1.42,8.004,
Capital Markets,DHIL,385 M,141.26,$5.98,$60.75,$14.79,24.773,14.028,1.3316,
Capital Markets,LAZ,"4,086 M",43.40,$5.98,$6.41,$2.87,48.603,6.9956,7.018,
Financial Services,PYPL,"68,350 M",70.28,$5.91,$20.69,$4.45,22.199,4.448,4.0127,
Capital Markets,APAM,"2,838 M",40.30,$5.84,$5.06,$3.64,60.804,16.305,3.8436,
Banks,FMBH,846 M,35.28,$5.79,$36.32,$3.37,9.6549,1.0565,8.6948,
Banks,TBBK,"2,387 M",51.10,$5.76,$17.66,$4.42,26.516,2.5232,11.312,
Capital Markets,TROW,"20,619 M",93.59,$5.75,$47.02,$8.81,18.447,10.991,1.3462,
Capital Markets,MC,"4,237 M",57.11,$5.62,$6.53,$2.29,39.174,16.926,2.4899,
Banks,SMBC,595 M,52.66,$5.58,$46.80,$4.99,11.171,1.1705,9.4111,
Banks,EGBN,535 M,17.60,$5.58,$40.99,($1.49),-3.5955,-.3926,9.091,
Banks,HBCP,393 M,50.40,$5.57,$50.82,$4.78,9.8545,1.1162,8.6524,
Banks,OFG,"1,848 M",41.14,$5.52,$28.83,$4.18,15.456,1.6956,9.0548,
Insurance,FAF,"5,743 M",55.81,$5.46,$48.64,$1.52,3.264,1.4662,3.0876,
Banks,NPB,452 M,13.14,$5.46,$17.09,$1.94,12.352,1.1051,9.9905,
Consumer Finance,KSPI,"15,218 M",79.765,$5.45,$17.77,$11.10,69.214,15.248,5.4373,
Insurance,SLF,"36,691 M",64.65,$5.44,$29.05,$3.80,13.14,.9003,15.719,
Capital Markets,VCTR,"4,169 M",62.01,$5.43,$17.90,$4.50,26.57,10.707,2.2572,
Capital Markets,GLAD,596 M,26.685,$5.40,$21.41,$3.93,18.792,5.3946,1.6249,
Banks,THFF,614 M,51.84,$5.35,$48.26,$4.63,10.022,1.0528,9.7022,
Banks,SNV,"6,649 M",47.83,$5.33,$34.86,$3.54,10.527,.9157,12.432,
Banks,CASH,"1,839 M",78.05,$5.29,$35.35,$7.36,23.204,2.5238,8.4201,
Banks,CUBI,"1,610 M",50.96,$5.25,$54.85,$3.98,8.1354,.6609,12.986,
Banks,ESQ,768 M,90.74,$5.25,$31.35,$5.27,19.662,2.4943,7.7952,
Banks,BKU,"2,556 M",33.98,$5.21,$38.51,$3.21,8.7744,.6947,12.021,
Insurance,ORI,"9,343 M",37.80,$5.20,$24.27,$3.04,12.671,2.3996,4.7365,
Capital Markets,TIGR,"1,428 M",8.11,$5.16,$3.74,$0.37,10.601,1.2104,9.7542,
Capital Markets,SCHW,"160,511 M",88.34,$5.12,$22.20,$3.30,14.118,1.3929,11.481,
Banks,USB,"67,914 M",43.59,$5.11,$34.15,$4.04,11.526,.988,12.695,
Consumer Finance,ECPG,885 M,37.90,$5.07,$34.84,($4.84),-13.05,4.1709,6.0674,
Banks,GNTY,469 M,41.34,$4.95,$28.64,$2.91,10.585,1.0646,9.6947,
Banks,UNTY,443 M,44.205,$4.91,$30.38,$4.26,15.173,1.629,9.0414,
Consumer Finance,PRG,"1,163 M",28.83,$4.89,$16.22,$4.90,33.884,17.039,2.246,
Banks,WABC,"1,258 M",48.05,$4.87,$35.02,$4.99,15.542,2.1438,6.4634,
Insurance,OSCR,"3,515 M",13.80,$4.86,$5.27,$0.46,10.475,2.0563,4.3838,
Banks,PLBC,258 M,43.53,$4.78,$31.68,$4.95,16.927,1.805,8.7061,
Financial Services,NMIH,"3,103 M",39.72,$4.75,$29.65,$4.63,17.378,9.9843,1.4887,
Insurance,PWCDF,"24,759 M",38.57,$4.74,$25.09,$2.89,10.41,.4374,36.848,
Insurance,BHF,"3,434 M",59.81,$4.73,$90.53,$8.45,12.923,.6334,44.795,
Banks,FITB,"25,492 M",38.19,$4.71,$27.41,$3.15,11.715,1.081,11.63,
Financial Services,ACT,"5,312 M",35.40,$4.70,$33.96,$4.44,14.092,9.1133,1.313,
Banks,EQBK,682 M,38.94,$4.68,$35.21,$3.93,11.841,1.1903,8.8221,
Capital Markets,SEIC,"10,614 M",85.26,$4.68,$18.09,$4.59,26.625,13.971,1.1365,
Banks,ABCB,"4,236 M",61.47,$4.68,$55.58,$5.38,10.188,1.4272,6.9342,
Banks,CATY,"3,005 M",42.855,$4.68,$40.91,$3.95,10.067,1.2188,8.099,
Capital Markets,BX,"106,118 M",138.76,$4.65,$10.32,$3.31,26.345,11.889,5.6725,
Banks,PB,"6,636 M",69.65,$4.64,$78.91,$5.23,6.828,1.2878,5.1569,
Banks,SYBT,"2,168 M",73.56,$4.61,$33.10,$4.14,13.18,1.4242,9.2237,
Banks,FRME,"2,198 M",37.70,$4.60,$39.91,$3.55,9.1638,1.136,7.9927,
Insurance,IGIC,"1,057 M",23.34,$4.59,$14.64,$2.73,20.628,3.8735,3.2148,
Insurance,BRO,"32,360 M",112.90,$4.56,$23.77,$3.59,16.519,5.6825,2.4571,
Capital Markets,JHG,"5,724 M",36.33,$4.48,$29.81,$2.52,8.3663,6.3062,1.516,
Banks,SFBS,"4,065 M",74.43,$4.44,$30.56,$4.40,15.291,1.3995,11.17,
Financial Services,WIZEY,"15,441 M",15.36,$4.43,$1.54,$0.55,45.063,2.353,14.067,
Insurance,AFL,"55,978 M",103.54,$4.41,$48.55,$6.44,14.408,2.3428,4.566,
Banks,SFST,295 M,36.07,$4.39,$41.33,$2.25,5.5981,.4356,12.691,
Capital Markets,FHI,"3,338 M",42.20,$4.35,$14.26,$3.58,25.153,14.016,1.8604,
Mortgage Real Estate Investment Trusts (REITs),ARR,"1,325 M",16.21,$4.32,$20.67,($0.24),-.1069,-.0113,9.0953,
Consumer Finance,XYF,793 M,18.78,$4.30,$24.36,$4.76,23.941,22.534,1.6264,
Insurance,AIG,"48,781 M",84.64,$4.28,$71.39,$3.97,5.7436,.7264,3.9068,
Banks,BSVN,365 M,38.62,$4.20,$23.46,$4.71,22.259,2.5134,8.055,
Financial Services,JKHY,"13,192 M",181.17,$4.15,$27.97,$5.87,22.494,11.807,1.4398,
Financial Services,FOUR,"6,523 M",94.79,$4.12,$11.70,$2.82,29.867,4.1624,6.2142,
Banks,INDB,"2,621 M",61.50,$4.10,$71.19,$4.44,6.3787,.9626,6.5564,
Banks,FISI,519 M,25.82,$4.08,$28.48,($1.69),-5.1827,-.4246,11.072,
Insurance,AGO,"4,143 M",84.55,$4.01,$112.86,$8.34,8.1841,2.5408,2.1356,
Banks,PFIS,480 M,48.06,$3.98,$48.21,$2.14,4.877,.4623,10.375,
Banks,CBSH,"8,407 M",63.01,$3.98,$25.98,$4.03,17.009,1.752,9.3062,
Banks,STBA,"1,405 M",36.66,$3.96,$37.06,$3.47,9.8357,1.3857,6.8533,
Capital Markets,TW,"30,822 M",144.45,$3.91,$27.83,$2.43,9.4252,8.0575,1.241,
Banks,PEBO,"1,045 M",29.32,$3.87,$32.63,$3.15,10.179,1.2092,8.1261,
Banks,EBTC,482 M,38.55,$3.87,$31.28,$3.27,11.314,.8538,12.717,
Banks,CBNK,535 M,32.30,$3.84,$22.19,$2.49,12.191,1.3514,9.0639,
Banks,NBTB,"2,192 M",41.85,$3.83,$33.13,$3.03,9.5479,1.0516,8.8546,
Banks,PFS,"2,182 M",16.70,$3.82,$20.35,$1.19,6.7741,.7689,9.1112,
Banks,LKFN,"1,530 M",59.87,$3.80,$27.17,$3.50,13.442,1.3438,9.866,
Banks,TRMK,"2,084 M",34.46,$3.80,$33.29,$0.99,3.276,.3308,9.052,
Banks,SPFI,584 M,35.97,$3.80,$27.33,$3.00,11.998,1.1858,9.9274,
Insurance,TIPT,832 M,22.18,$3.79,$12.63,$1.20,13.221,2.0748,12.285,
Banks,SSBK,342 M,34.49,$3.79,$29.25,$3.80,14.462,1.3837,9.8253,
Capital Markets,XP,"10,202 M",19.36,$3.76,$6.94,$1.52,22.769,1.5014,16.632,
Financial Services,FIS,"41,827 M",79.61,$3.73,$28.64,$1.60,5.2458,3.4364,2.1801,
Banks,CBU,"2,972 M",56.24,$3.73,$34.71,$3.61,10.955,1.1723,9.1405,
Capital Markets,VRTS,"1,180 M",170.70,$3.67,$129.32,$16.84,14.207,3.1416,4.1262,
Capital Markets,TCPC,667 M,7.84,$3.65,$9.18,($0.55),-5.453,6.3432,2.4304,
Banks,CCBG,644 M,37.74,$3.65,$30.05,$3.37,11.797,1.2997,8.7036,
Capital Markets,FSK,"5,940 M",21.21,$3.63,$23.37,$1.90,7.9652,5.2923,2.2785,
Financial Services,CRBG,"17,926 M",32.61,$3.60,$21.66,$1.17,5.7013,.2904,32.556,
Banks,OBK,"1,062 M",34.09,$3.58,$37.77,$2.43,6.7525,.7765,8.2618,
Insurance,RYAN,"9,064 M",71.57,$3.52,$4.30,$0.27,18.193,3.6764,18.23,
Banks,NECB,288 M,22.62,$3.49,$25.71,$3.44,15.018,2.4349,5.9087,
Insurance,EIG,"1,170 M",48.67,$3.48,$44.43,$4.13,9.8443,2.2385,3.3066,
Banks,WASH,534 M,27.66,$3.43,$27.06,($1.51),-5.425,-.3876,12.625,
Banks,SUPV,"1,140 M",13.02,$3.42,$1.77,$0.13,8.8004,1.5582,6.368,
Banks,CADE,"5,561 M",30.30,$3.39,$30.16,$2.85,9.8977,1.124,8.6,
Banks,GABC,"1,432 M",38.215,$3.39,$27.91,$2.43,8.8527,1.0364,8.0491,
Banks,RBB,301 M,16.98,$3.38,$28.76,$1.17,4.0845,.5304,7.858,
Insurance,STC,"1,685 M",60.34,$3.35,$50.16,$2.60,6.3031,3.0881,1.9331,
Consumer Finance,TREE,474 M,35.02,$3.33,$7.67,($4.13),-46.838,3.7119,7.4907,
Capital Markets,BRDG,411 M,9.20,$3.32,$1.64,($0.49),3.3179,3.8203,16.166,
Banks,SMBK,541 M,31.78,$3.31,$29.72,$2.26,7.8206,.7338,10.698,
Capital Markets,CGBD,"1,024 M",14.05,$3.31,$16.63,$1.30,6.9291,4.8048,2.0899,
Banks,NBHC,"1,377 M",36.15,$3.29,$34.90,$2.89,8.7191,1.1128,7.5971,
Banks,MOFG,598 M,28.75,$3.28,$27.85,($2.65),-8.7427,-.7447,10.79,
Consumer Finance,NAVI,"1,359 M",13.44,$3.28,$25.55,$0.52,2.0915,.1018,19.679,
Capital Markets,TPVG,280 M,6.96,$3.27,$8.62,$0.93,10.681,6.5546,2.1179,
Capital Markets,AB,"4,422 M",39.95,$3.25,$18.04,$3.72,20.672,4.1165,1.0001,
