Watchlist Scanner

Results
Industry,Symbol,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM),1
Gas Utilities,SR,"4,443 M",75.28,($2.41),$55.35,$4.09,7.3083,2.9399,3.4734,
Multi-Utilities,PEG,"40,434 M",81.03,($1.39),$32.81,$3.66,11.4,2.9419,3.3949,
Water Utilities,HTO,"1,794 M",52.48,($5.26),$40.88,$2.98,7.4931,2.5601,3.3842,
Gas Utilities,SWX,"5,371 M",71.83,$2.66,$49.86,$3.12,6.3585,2.8315,3.3742,
Water Utilities,ARTNA,356 M,34.49,($1.19),$23.45,$2.08,9.044,2.7191,3.3472,
Independent Power & Renewable Electricity Producers,NPIFF,"3,909 M",14.95,$2.10,$11.22,$0.69,7.0885,3.2537,3.3378,
Electric Utilities,FTS,"24,493 M",48.83,($1.95),$31.19,$2.30,7.4649,3.0243,3.319,
Electric Utilities,POR,"4,643 M",42.40,($4.42),$35.10,$2.86,8.3253,2.7025,3.3026,
Electric Utilities,EVRG,"15,280 M",66.41,($0.85),$43.16,$3.80,9.0474,2.9121,3.2681,
Water Utilities,CWT,"2,815 M",47.25,($3.07),$27.35,$2.26,8.6113,2.5928,3.2271,
Multi-Utilities,SRE,"51,254 M",78.59,($6.46),$47.17,$4.56,9.7086,1.9331,3.2194,
Water Utilities,AWK,"27,881 M",142.97,($4.11),$54.02,$5.49,10.428,3.4751,3.1475,
Gas Utilities,UGI,"7,733 M",36.06,$2.62,$23.37,$2.46,10.82,4.9609,3.1417,
Independent Power & Renewable Electricity Producers,CPXWF,"6,208 M",40.14,($0.66),$20.91,$3.21,15.279,3.8425,3.069,
Gas Utilities,NFG,"7,458 M",82.54,$0.77,$30.59,$0.43,1.3038,6.1544,3.0662,
Multi-Utilities,AQN,"4,215 M",5.49,($0.62),$5.87,$0.33,2.4233,1.8801,3.0297,
Electric Utilities,OGE,"8,953 M",44.47,($1.83),$22.93,$2.41,10.718,3.7126,3.023,
Multi-Utilities,AVA,"3,103 M",38.51,$0.14,$32.88,$2.37,7.2734,2.6496,3.0072,
Gas Utilities,ATGFF,"8,378 M",28.015,$0.29,$20.24,$1.31,6.613,2.9386,3.0063,
Multi-Utilities,ED,"37,647 M",104.49,($2.34),$66.06,$5.42,8.3307,3.1111,2.9723,
Gas Utilities,NJR,"4,606 M",45.89,($0.67),$24.70,$4.14,17.829,5.0855,2.9322,
Electric Utilities,PPL,"25,689 M",34.75,($0.58),$19.34,$1.34,7.0181,2.9715,2.9243,
Electric Utilities,IDA,"6,426 M",118.95,($6.47),$61.95,$5.63,9.6034,2.2687,2.8664,
Water Utilities,MSEX,"1,038 M",57.95,($0.75),$25.09,$2.40,9.8014,2.9587,2.8482,
Independent Power & Renewable Electricity Producers,ANNA,381 M,9.36,($0.92),$0.71,($1.39),-31.06,-6.0548,2.8428,
Water Utilities,WTRG,"10,801 M",38.53,($1.89),$23.35,$2.23,9.781,3.0406,2.837,
Multi-Utilities,NGG,"69,983 M",71.39,($0.69),$9.99,$0.77,8.3552,3.0416,2.8236,
Gas Utilities,SGU,413 M,11.96,$2.56,$10.87,$1.78,20.711,6.8215,2.8183,
Multi-Utilities,NWE,"3,396 M",55.33,($2.19),$47.19,$3.84,8.2658,2.7672,2.7971,
Multi-Utilities,BKH,"4,240 M",58.47,($0.10),$50.13,$3.95,8.0816,3.2348,2.7678,
Water Utilities,YORW,470 M,32.66,($1.35),$16.12,$1.37,8.6298,2.9134,2.7645,
Water Utilities,AWR,"3,037 M",78.87,($1.43),$24.84,$3.24,13.999,5.0118,2.6615,
Independent Power & Renewable Electricity Producers,KEN,"1,833 M",35.15,($0.52),$29.37,$11.35,28.796,.8857,2.6236,
Gas Utilities,OGS,"4,667 M",74.76,($2.87),$53.15,$4.20,8.0781,3.3916,2.6145,
Electric Utilities,EDN,"1,447 M",33.04,($0.09),$1.78,$0.21,16.287,1.9161,2.5969,
Gas Utilities,MDU,"3,512 M",17.19,$0.27,$13.42,$0.91,6.5968,2.4155,2.5378,
Gas Utilities,CPK,"2,850 M",122.19,($7.35),$62.68,$5.43,9.0389,4.27,2.532,
Electric Utilities,ENIC,"4,911 M",3.55,$0.01,$0.08,$0.00,4.1027,2.1509,2.4746,
Electric Utilities,ALE,"3,770 M",65.04,$1.01,$49.44,$3.19,3.5129,1.6415,2.3958,
Independent Power & Renewable Electricity Producers,ORA,"4,509 M",74.33,($3.19),$40.57,$2.06,5.1918,1.8045,2.3724,
Electric Utilities,EBR,"16,487 M",7.33,$0.88,$9.47,$0.75,8.2773,2.8872,2.3212,
Electric Utilities,ELP,"6,666 M",8.98,($0.17),$1.55,$0.14,9.5774,4.441,2.293,
Electric Utilities,ELPC,"6,080 M",8.19,($0.17),$1.55,$0.14,9.5774,4.441,2.293,
Electric Utilities,CIG,"5,349 M",1.87,($0.02),$1.71,$0.43,26.266,8.1917,2.2892,
Electric Utilities,MGEE,"3,300 M",90.32,$1.38,$34.46,$3.54,10.617,3.8182,2.257,
Water Utilities,SBS,"14,039 M",20.54,($0.48),$9.84,$2.62,29.643,13.753,2.2317,
Electric Utilities,OTTR,"3,234 M",77.18,$1.86,$41.01,$7.02,18.379,6.7231,2.1526,
Gas Utilities,ATO,"24,569 M",154.68,($8.36),$82.71,$7.25,9.1855,3.6436,2.0536,
Electric Utilities,GNE,568 M,21.14,$2.47,$7.36,$0.65,9.3635,8.3624,1.9412,
Electric Utilities,PAM,"4,170 M",76.67,$0.03,$2.55,$0.41,19.504,2.9657,1.7855,
Independent Power & Renewable Electricity Producers,CEPU,"1,967 M",13.01,$0.11,$1.26,$0.06,6.1374,4.8417,1.4639,
Independent Power & Renewable Electricity Producers,MNTK,262 M,1.84,($0.09),$1.80,$0.05,2.8955,3.3184,1.372,
Water Utilities,CWCO,430 M,27.03,$2.18,$13.40,$1.00,7.9023,4.0533,1.1739,
Electric Utilities,OKLO,"7,339 M",52.72,($0.38),$1.94,($0.51),-56.027,-22.832,1.1218,
Water Utilities,PCYO,256 M,10.62,$0.04,$5.58,$0.59,11.125,4.9344,1.1134,
Gas Utilities,BIPC,"4,710 M",39.57,$2.88,($7.06),($2.08),22.203,5.9791,-26.869,
